Mode,Sparsity,Train_Acc_Mean,Train_Acc_Std,Test_Acc_Mean,Test_Acc_Std,Acc_Gap_Mean,Acc_Gap_Formatted
MBPA,90.0%,0.9866800000000001,0.0007432361670425268,0.7524666666666667,0.001001665280087781,0.2342133333333333,23.42 ± 0.07%
MBPA,95.0%,0.9542266666666667,0.0002484619353811153,0.7357999999999999,0.0016822603841260436,0.21842666666666666,21.84 ± 0.02%
MBPA,98.0%,0.8618866666666666,0.0028493040085840944,0.7091,0.002443358344574099,0.15278666666666663,15.28 ± 0.28%
MBPA,99.0%,0.7727133333333334,0.001578902572463933,0.6693333333333333,0.0027061657993059964,0.10337999999999999,10.34 ± 0.16%
MBPA,99.5%,0.6716266666666666,0.010002106444811138,0.6063999999999999,0.007418220810949199,0.06522666666666666,6.52 ± 1.0%
RIGL,90.0%,0.9850866666666667,0.0008251868475280357,0.7495666666666666,0.00306159000085469,0.23551999999999995,23.55 ± 0.08%
RIGL,95.0%,0.9523266666666667,0.0005707305260219172,0.7352,0.0019078784028338674,0.21712666666666666,21.71 ± 0.06%
RIGL,98.0%,0.8688933333333333,0.0035431812447760617,0.7120000000000001,0.0014798648586948483,0.15689333333333333,15.69 ± 0.35%
RIGL,99.0%,0.7869666666666667,0.002115309276047677,0.6781333333333334,0.002779088579612615,0.10883333333333327,10.88 ± 0.21%
RIGL,99.5%,0.6995,0.002654279563271356,0.6261666666666666,0.0032083225108042387,0.07333333333333332,7.33 ± 0.27%
SET,90.0%,0.9868399999999999,0.0009335952013587044,0.7505000000000001,0.0015099668870541766,0.23634000000000002,23.63 ± 0.09%
SET,95.0%,0.9521533333333334,0.0020255698786596195,0.7367,0.000984885780179609,0.2154533333333333,21.55 ± 0.2%
SET,98.0%,0.8573400000000001,0.0014058449416631431,0.7056666666666667,0.0028112867753634163,0.15167333333333335,15.17 ± 0.14%
SET,99.0%,0.7660866666666667,0.0027863476691420124,0.6652,0.00360000000000002,0.10088666666666668,10.09 ± 0.28%
SET,99.5%,0.6593933333333334,0.005698221944899339,0.5950666666666667,0.0074473709007496875,0.06432666666666664,6.43 ± 0.57%
