Mode,Target_Sparsity,Actual_Mean,Drift_Max
MBPA,90.0%,90.01799999999999,0.0272
RIGL,90.0%,90.01766666666667,0.024
SET,90.0%,90.01766666666667,0.0238
MBPA,95.0%,95.00266666666668,0.0073
RIGL,95.0%,95.00166666666667,0.0069
SET,95.0%,95.00133333333333,0.0062
MBPA,98.0%,98.003,0.0058
RIGL,98.0%,98.003,0.0057
SET,98.0%,98.003,0.0058
MBPA,99.0%,98.99900000000001,0.0034
RIGL,99.0%,98.998,0.0043
SET,99.0%,98.998,0.0038
MBPA,99.5%,99.49866666666667,0.0029
RIGL,99.5%,99.49866666666667,0.003
SET,99.5%,99.49900000000001,0.0029
